NumPlanes,LargestPlaneCount,AveragePlaneCount,AverageNumVertsPerPlane,AverageTextureSize,memManagementUS,preprocessingUS,segmentationUS,quadtreeUS,PipelineUS
4,78688,57994,4638,229376,3649,2060,2453,6474,14636
3,79340,45714,4364,305834,2986,2062,2304,6172,13524
4,79482,58228,4557,229376,3719,2097,2259,6832,14907
4,79812,57847,4744,229376,4132,1879,2213,6480,14704
5,80082,47297,4882,288358,3700,2101,2281,9150,17232
4,82594,57972,4968,229376,5205,1866,2187,7937,17195
4,90634,58463,4898,212992,3191,2027,2336,6555,14109
1,83328,83328,4362,262144,2699,1957,2337,2523,9516
3,103960,77985,5194,262144,1610,1715,2209,5393,10927
3,109516,79602,5325,349525,4593,2108,2267,7842,16810
3,113838,80478,5127,349525,5151,2068,2192,6636,16047
3,118933,81000,5279,349525,6230,1799,2170,6710,16909
3,123562,80980,5274,611669,3642,1760,2135,10046,17583
1,126589,126589,9091,524288,5934,1859,2199,3515,13507
3,130208,73411,4699,349525,3331,1820,2223,6260,13634
3,134854,74934,4611,305834,3821,2060,2367,7605,15853
2,138677,114430,7211,393216,3079,1752,2683,5344,12858
2,142276,116238,7577,393216,2474,1760,2396,5005,11635
2,144824,116894,7667,393216,4410,1986,2129,5482,14007
2,146256,116636,7682,393216,4585,1841,2108,5421,13955
2,147708,115893,7678,393216,5001,1783,2111,4986,13881
1,147721,147721,11728,524288,4366,1797,2113,3981,12257
1,147602,147602,10467,524288,3713,1696,2040,3736,11185
3,147763,74512,5325,350208,1828,1750,2253,6419,12250
3,147316,73259,5407,283989,5888,1761,2130,5871,15650
3,147356,72218,5839,283989,5145,1769,2116,7253,16283
3,147538,72466,7125,349525,5379,1836,2128,7139,16482
3,148226,69951,5760,535210,6230,1834,2100,8895,19059
3,147914,68484,6256,267605,5192,1818,2022,5600,14632
3,149189,67124,5894,267605,2883,1746,2056,6635,13320
3,151982,66279,6730,458752,2450,1759,2124,8347,14680
3,156145,65565,7109,447829,4306,2609,2042,9933,18890
3,163927,65667,7404,458752,3938,1817,2045,8296,16096
3,171436,65474,7699,458752,11001,1783,2066,9379,24229
3,179211,63240,7368,546133,5248,1965,2087,11149,20449
1,177992,177992,18660,1048576,4363,1795,2027,5962,14147
2,173688,89990,12607,786432,2880,1725,2233,8695,15533
2,167756,87068,13036,786432,6668,1851,2119,9460,20098
2,159561,82990,13450,655360,7156,1815,2137,7352,18460
2,151327,79096,11286,655360,4037,1794,2067,8163,16061
3,143037,50125,7492,442368,4171,1786,2064,11636,19657
2,136632,72069,10974,655360,3935,1715,2063,6814,14527
4,128884,38887,9482,466944,4476,1816,2099,10292,18683
2,122707,64902,14140,786432,8618,1856,2120,8060,20654
2,116450,61981,10019,655360,7235,1795,2118,6960,18108
5,109612,31832,7274,396492,3853,1847,2070,12410,20180
5,100304,29890,6542,393216,7722,2023,2381,10483,22609
5,90079,30040,7074,734003,11498,1908,2131,26882,42419
5,72554,26064,7243,422707,9838,1861,2148,10998,24845
4,65849,24170,5700,397312,9525,1820,2108,8273,21726
2,15636,10741,6532,196608,6218,1815,2054,3770,13857
0,0,0,0,0,2932,1812,2031,436,7211
6,45140,20123,7338,612010,533,1698,2089,18183,22503
5,34456,9480,3318,386662,13205,1808,2072,11337,28422
7,34324,12402,3412,711533,5543,1834,2066,27398,36841
1,10044,10044,16692,1048576,15039,1998,1963,5064,24064
3,37338,20098,11895,567978,2758,1754,1984,8984,15480
4,38004,17236,4774,409600,5388,1794,2037,9281,18500
6,29219,15289,8314,589824,8357,1786,2053,17970,30166
6,21545,8460,5756,764586,11631,1803,2017,25414,40865
5,38361,20121,6034,288358,10918,4506,2069,22399,39892
4,38449,23875,8424,557056,7877,1983,2044,12208,24112
4,37236,23192,5009,294912,9734,1782,2008,7358,20882
6,27093,11990,5963,633514,4543,1826,2216,20297,28882
5,25653,10808,2920,341606,12535,1878,2038,10029,26480
4,30677,16138,4847,819200,4583,1874,2005,15236,23698
3,29035,19315,5523,567978,10834,1853,2005,8353,23045
6,27341,12384,4169,447829,7943,1939,2115,16294,28291
5,22713,15015,5252,445644,6900,1811,2040,11886,22637
6,23220,12912,4900,415061,5369,1794,2104,14415,23682
7,25866,11685,3657,374491,6760,1880,2112,14479,25231
8,30551,9723,4597,344064,5764,1781,2138,16712,26395
7,35064,11954,4287,458752,11630,1945,2336,19444,35355
4,43196,19526,6240,589824,12080,1856,3574,12806,30316
5,47124,16554,5544,734003,9350,1800,2460,18118,31728
6,52766,14685,3999,502442,8283,1824,2311,15653,28071
5,55300,18910,5833,471859,9329,1943,2164,14830,28266
5,58567,18742,5368,642252,9270,1839,2149,15102,28360
3,65789,32403,6465,393216,10796,1819,2114,7057,21786
2,70090,46813,8381,524288,3619,1724,2183,6819,14345
2,75981,50688,8721,524288,4066,1829,2277,6520,14692
6,80798,18083,2977,240298,4039,1921,2219,10656,18835
4,83451,27259,5733,655360,4897,1827,2130,15288,24142
5,83783,24952,6856,655360,6938,1733,2189,16798,27658
5,81545,25202,9059,576716,11709,1893,2228,16534,32364
6,78848,23500,6757,459093,10698,1848,2741,16422,31709
6,81127,23673,5890,546133,12636,1859,2531,16762,33788
7,86133,21944,6065,589824,9880,1824,2407,20928,35039
5,87016,27742,7378,589824,12801,2082,2277,15452,32612
6,92145,24775,7547,535210,8040,1830,2205,16970,29045
7,95783,23737,5609,444708,12863,1856,2235,16904,33858
6,104027,27841,6585,491520,8126,1907,2203,15740,27976
6,109035,28556,6391,513365,7108,1832,2461,15101,26502
6,108010,28278,6692,447829,12314,1860,2241,13786,30201
7,96970,23502,6049,514925,7100,1889,2228,21643,32860
6,94862,28043,5912,404138,14392,3250,2405,13967,34014
5,89643,29915,5792,471859,7463,1785,2277,15848,27373
7,85004,21580,4068,449974,5717,1866,2262,16426,26271
7,79699,20928,4096,365129,13161,1901,2250,14172,31484
8,66994,17720,4607,458752,6799,3064,2298,23635,35796
9,61985,16117,4937,509724,11639,1969,2291,22750,38649
3,55597,26457,4072,567978,12977,1948,2301,8829,26055
10,55102,13428,4393,386867,5081,1822,2236,21055,30194
12,54749,11537,4502,382293,9408,1880,2278,26096,39662
10,53255,11972,5058,340787,16635,1862,2201,20480,41178
10,48900,11913,4995,433356,9603,1813,2232,23876,37524
10,49302,12781,5325,406323,10680,1853,2262,30050,44845
9,44406,13587,4902,444188,12680,1856,2344,22850,39730
11,42299,12268,4921,434920,16042,1877,2296,26313,46528
6,27915,13213,6315,447829,14862,1876,2143,14722,33603
8,43764,15370,5863,475136,7681,1804,2229,21134,32848
8,45473,16571,6014,475136,13040,1845,2237,21762,38884
8,47855,16646,5215,376832,11627,2685,2265,22597,39174
9,49640,13872,5233,451470,11419,1839,2206,21640,37104
7,53922,16328,9206,496201,15405,1969,2092,21029,40495
