NumPlanes,LargestPlaneCount,AveragePlaneCount,AverageNumVertsPerPlane,AverageTextureSize,memManagementUS,preprocessingUS,segmentationUS,quadtreeUS,PipelineUS
1,166508,166508,5370,524288,2751,2118,2292,3478,10639
1,173058,173058,5520,524288,2547,1979,2177,3258,9961
1,181008,181008,6126,524288,1783,1845,2342,3359,9329
1,189788,189788,6023,524288,2526,1924,2146,4540,11136
1,198517,198517,6785,1048576,1974,1731,2252,7075,13032
1,206093,206093,13986,1048576,4350,2087,2149,6719,15305
1,213893,213893,12206,1048576,3364,1885,2174,6411,13834
1,219406,219406,13069,1048576,3067,1952,2176,6570,13765
1,225347,225347,11297,1048576,2877,2021,2224,6388,13510
1,229367,229367,12157,1048576,2818,1984,2198,6524,13524
1,230964,230964,11135,1048576,2918,1928,2176,6242,13264
1,231742,231742,11662,1048576,2801,1962,2226,6128,13117
1,232398,232398,10362,1048576,2742,1951,2209,5885,12787
1,229008,229008,13136,1048576,2565,1913,2234,5982,12694
1,232615,232615,8373,1048576,2742,1932,2186,6124,12984
1,227250,227250,11166,1048576,2634,1948,2214,5468,12264
1,227727,227727,10137,1048576,3955,1972,2188,5896,14011
1,230045,230045,9038,524288,2835,1993,2242,4061,11131
1,230689,230689,9115,524288,1795,1702,2232,4278,10007
1,230836,230836,8914,524288,1945,1754,2166,3948,9813
1,229688,229688,8640,524288,1778,1891,2157,4093,9919
1,227056,227056,9812,524288,2055,1765,2162,3942,9924
1,230019,230019,8649,524288,3520,1870,2144,4018,11552
1,229618,229618,8830,524288,3141,1900,2108,3788,10937
1,229932,229932,9049,524288,1922,1902,2139,3974,9937
1,229892,229892,8867,524288,2499,1982,2180,3606,10267
1,230174,230174,9173,524288,1735,1694,2245,3738,9412
1,229943,229943,8520,1048576,1972,1714,2155,6228,12069
1,229945,229945,8242,524288,2803,1997,2243,4725,11768
1,230356,230356,8458,524288,2354,2122,2410,3763,10649
1,230379,230379,8872,524288,1836,1771,2181,4121,9909
1,230345,230345,8885,524288,1714,1787,2221,3918,9640
1,230363,230363,8453,524288,1744,1724,2140,3705,9313
1,229904,229904,8797,524288,1727,1674,2152,3630,9183
1,229937,229937,8416,524288,1736,1690,2177,3705,9308
1,229822,229822,8135,524288,1736,1682,2153,3578,9149
1,229907,229907,7695,524288,1724,1667,2190,3591,9172
1,230650,230650,7961,524288,1778,1687,2184,3559,9208
1,231766,231766,7770,524288,1666,1878,2202,4369,10115
1,233372,233372,7600,524288,1967,1756,2137,3899,9759
1,235128,235128,7315,524288,2054,1763,2144,3547,9508
1,236745,236745,7416,524288,3087,1964,2199,4324,11574
